iter	Passed	Remaining
0	31	31808
1	61	30726
2	88	29479
3	116	29015
4	145	29013
5	170	28252
6	200	28388
7	217	26966
8	245	27066
9	272	26952
10	297	26736
11	320	26389
12	348	26450
13	382	26908
14	415	27257
15	447	27548
16	474	27431
17	501	27384
18	531	27416
19	564	27684
20	600	27982
21	634	28198
22	691	29373
23	737	30002
24	765	29868
25	801	30028
26	830	29916
27	865	30062
28	899	30125
29	929	30038
30	956	29894
31	984	29781
32	1016	29773
33	1043	29638
34	1068	29465
35	1096	29362
36	1124	29277
37	1152	29176
38	1179	29062
39	1208	28997
40	1238	28975
41	1265	28861
42	1294	28811
43	1325	28795
44	1351	28679
45	1377	28569
46	1403	28465
47	1433	28433
48	1460	28351
49	1484	28211
50	1514	28187
51	1543	28132
52	1568	28021
53	1595	27945
54	1623	27901
55	1650	27822
56	1679	27779
57	1706	27720
58	1734	27656
59	1760	27577
60	1787	27518
61	1805	27310
62	1820	27071
63	1846	27011
64	1871	26914
65	1900	26895
66	1927	26838
67	1957	26835
68	1980	26725
69	2009	26700
70	2039	26687
71	2065	26623
72	2093	26581
73	2119	26516
74	2128	26251
75	2155	26212
76	2182	26155
77	2208	26109
78	2237	26088
79	2252	25901
80	2277	25842
81	2301	25769
82	2327	25714
83	2356	25691
84	2383	25662
85	2411	25630
86	2441	25626
87	2467	25569
88	2494	25528
89	2503	25315
90	2529	25262
91	2557	25242
92	2574	25103
93	2615	25210
94	2637	25128
95	2667	25121
96	2695	25091
97	2714	24981
98	2741	24947
99	2784	25061
100	2827	25169
101	2865	25225
102	2896	25225
103	2928	25230
104	2958	25216
105	2995	25260
106	3028	25272
107	3060	25276
108	3071	25111
109	3103	25106
110	3134	25104
111	3163	25085
112	3185	25008
113	3198	24854
114	3233	24881
115	3262	24862
116	3293	24858
117	3327	24871
118	3356	24851
119	3375	24756
120	3407	24754
121	3435	24723
122	3461	24680
123	3475	24553
124	3503	24523
125	3518	24404
126	3546	24376
127	3572	24338
128	3599	24305
129	3630	24295
130	3658	24269
131	3689	24262
132	3729	24312
133	3746	24209
134	3778	24209
135	3810	24205
136	3833	24149
137	3866	24153
138	3898	24145
139	3920	24080
140	3950	24067
141	3967	23969
142	4000	23973
143	4099	24368
144	4243	25020
145	4301	25160
146	4334	25151
147	4367	25142
148	4397	25113
149	4430	25106
150	4447	25004
151	4477	24977
152	4493	24874
153	4525	24859
154	4564	24883
155	4605	24917
156	4649	24965
157	4672	24898
158	4690	24808
159	4724	24802
160	4767	24843
161	4809	24876
162	4864	24980
163	4914	25049
164	4954	25074
165	4971	24978
166	5009	24988
167	5045	24986
168	5081	24988
169	5115	24977
170	5152	24979
171	5166	24870
172	5200	24861
173	5236	24860
174	5271	24849
175	5307	24847
176	5343	24843
177	5385	24871
178	5425	24885
179	5464	24895
180	5524	24996
181	5566	25017
182	5591	24964
183	5635	24990
184	5662	24947
185	5693	24916
186	5712	24834
187	5744	24809
188	5764	24737
189	5794	24700
190	5823	24667
191	5853	24632
192	5868	24536
193	5878	24422
194	5905	24381
195	5924	24302
196	5942	24223
197	5972	24190
198	6005	24174
199	6038	24154
200	6066	24116
201	6100	24101
202	6135	24090
203	6172	24084
204	6206	24070
205	6240	24054
206	6252	23951
207	6286	23937
208	6327	23947
209	6366	23950
210	6446	24106
211	6581	24464
212	6672	24654
213	6731	24723
214	6803	24842
215	6877	24961
216	6935	25024
217	6992	25083
218	7039	25102
219	7120	25244
220	7211	25418
221	7286	25536
222	7331	25545
223	7369	25531
224	7382	25427
225	7420	25415
