iter	Logloss
0	0.668531496
1	0.6551860752
2	0.63159224
3	0.6093200954
4	0.6009709651
5	0.5858862305
6	0.5719986606
7	0.5667664945
8	0.556384955
9	0.548852233
10	0.5405906768
11	0.5334691609
12	0.5274162024
13	0.5198666532
14	0.5166489383
15	0.5154688362
16	0.510894021
17	0.5091203867
18	0.5029470373
19	0.5006661668
20	0.498917698
21	0.4983231154
22	0.4979025309
23	0.4940715297
24	0.4920208196
25	0.4903054213
26	0.489290295
27	0.488327187
28	0.4883038826
29	0.4863901523
30	0.4853936579
31	0.4853809172
32	0.4853706359
33	0.4843818696
34	0.4843750345
35	0.4833276758
36	0.4833231242
37	0.4819243276
38	0.4801225396
39	0.4801200643
40	0.479536854
41	0.4789043234
42	0.478902989
43	0.4785801692
44	0.4781223174
45	0.4779356283
46	0.4779350436
47	0.4771330391
48	0.4768680489
49	0.4759766803
50	0.4752947909
51	0.4751423864
52	0.4747372055
53	0.4737453261
54	0.4737452027
55	0.4732013222
56	0.4729181
57	0.4717438203
58	0.4715642294
59	0.4711584257
60	0.4710938663
61	0.4704973719
62	0.4698524299
63	0.4698211617
64	0.4698127118
65	0.4698126992
66	0.4697747029
67	0.469589096
68	0.4692829179
69	0.4687695927
70	0.4686904368
71	0.4682574914
72	0.4674139545
73	0.4672426324
74	0.4656288497
75	0.4654735837
