iter	Passed	Remaining
0	17	1320
1	26	973
2	62	1510
3	95	1726
4	105	1494
5	117	1366
6	155	1531
7	180	1531
8	199	1483
9	210	1391
10	243	1438
11	284	1519
12	310	1505
13	345	1527
14	358	1456
15	366	1375
16	393	1366
17	406	1310
18	440	1321
19	461	1293
20	478	1253
21	490	1203
22	503	1160
23	538	1167
24	574	1172
25	597	1148
26	609	1105
27	625	1072
28	630	1021
29	664	1018
30	693	1007
31	700	963
32	706	920
33	723	893
34	735	861
35	831	923
36	842	887
37	864	864
38	936	888
39	944	850
40	982	838
41	1010	818
42	1015	779
43	1046	761
44	1074	740
45	1088	709
46	1093	674
47	1113	649
48	1129	622
49	1159	602
50	1183	579
51	1215	561
52	1243	539
53	1274	519
54	1280	488
55	1306	466
56	1322	440
57	1335	414
58	1357	391
59	1377	367
60	1388	341
61	1400	316
62	1423	293
63	1435	269
64	1444	244
65	1449	219
66	1465	196
67	1512	177
68	1526	154
69	1556	133
70	1579	111
71	1597	88
72	1635	67
73	1651	44
74	1687	22
75	1713	0
